,,
"#Property Name","C icalproperty_kind Enum","libical Value type","iCalendar default value",Property Flags

"#iCalendar Properties","RFC 5545 Sections 3.7 and 3.8",
"CALSCALE","8","TEXT","TEXT"
"METHOD","48","METHOD","METHOD"
"PRODID","57","TEXT","TEXT"
"VERSION","89","TEXT","TEXT"
"ATTACH","4","ATTACH","URI",is_structured
"CATEGORIES","12","TEXT","TEXT",is_multivalued
"CLASS","13","CLASS","CLASS"
"COMMENT","15","TEXT","TEXT"
"DESCRIPTION","29","TEXT","TEXT"
"GEO","39","GEO","TEXT",is_structured
"LOCATION","43","TEXT","TEXT"
"PERCENT-COMPLETE","54","INTEGER","INTEGER"
"PRIORITY","56","INTEGER","INTEGER"
"RESOURCES","71","TEXT","TEXT",is_multivalued
"STATUS","76","STATUS","STATUS"
"SUMMARY","78","TEXT","TEXT"
"COMPLETED","16","DATE-TIME-DATE","DATE-TIME"
"DTEND","30","DATE-TIME-DATE","DATE-TIME"
"DUE","33","DATE-TIME-DATE","DATE-TIME"
"DTSTART","32","DATE-TIME-DATE","DATE-TIME"
"DURATION","34","DURATION","DURATION"
"FREEBUSY","38","PERIOD","PERIOD",is_multivalued
"TRANSP","80","TRANSP","TRANSP"
"TZID","82","TEXT","TEXT"
"TZNAME","83","TEXT","TEXT"
"TZOFFSETFROM","84","UTC-OFFSET","UTC-OFFSET"
"TZOFFSETTO","85","UTC-OFFSET","UTC-OFFSET"
"TZURL","86","URI","URI"
"ATTENDEE","5","CAL-ADDRESS","CAL-ADDRESS"
"CONTACT","18","TEXT","TEXT"
"ORGANIZER","52","CAL-ADDRESS","CAL-ADDRESS"
"RECURRENCE-ID","66","DATE-TIME-DATE","DATE-TIME"
"RELATED-TO","67","RELATED-TO","TEXT"
"URL","88","URI","URI"
"UID","87","TEXT","TEXT"
"EXDATE","35","DATE-TIME-DATE","DATE-TIME",is_multivalued
"RDATE","62","DATE-TIME-PERIOD","DATE-TIME",is_multivalued
"RRULE","73","RECUR","RECUR"
"ACTION","2","ACTION","ACTION"
"REPEAT","69","INTEGER","INTEGER"
"TRIGGER","81","TRIGGER","DURATION"
"CREATED","19","DATE-TIME","DATE-TIME"
"DTSTAMP","31","DATE-TIME","DATE-TIME"
"LAST-MODIFIED","42","DATE-TIME","DATE-TIME"
"SEQUENCE","75","INTEGER","INTEGER"
"REQUEST-STATUS","70","REQUEST-STATUS","REQUEST-STATUS"
"X","90","X","X",is_multivalued

"#Deprecated RFC 2445 Properties","See RFC 5545 Section A.3",
"EXRULE","37","RECUR","RECUR"

"#CAP Properties","RFC 4324 Section 2.1.2",
,"FIXME","Should be BOOLEAN"
"ALLOW-CONFLICT","3","TEXT","TEXT"
"CAP-VERSION","9","TEXT","TEXT"
"CAR-LEVEL","10","CAR-LEVEL","CAR-LEVEL"
"COMPONENTS","17","TEXT","TEXT"
"CSID","20","URI","URI"
"CALID","6","TEXT","TEXT"
"CALMASTER","7","TEXT","TEXT"
"CARID","11","TEXT","TEXT"
"CMD","14","CMD","CMD"
"DECREED","23","TEXT","TEXT"
"DEFAULT-CHARSET","24","TEXT","TEXT"
"DEFAULT-LOCALE","25","TEXT","TEXT"
"DEFAULT-TZID","26","TEXT","TEXT"
"DEFAULT-VCARS","27","TEXT","TEXT"
,"FIXME","Should be UPN-FILTER"
"DENY","28","TEXT","TEXT"
,"FIXME","Should be BOOLEAN"
"EXPAND","36","INTEGER","INTEGER"
,"FIXME","Should be UPN-FILTER"
"GRANT","40","TEXT","TEXT"
"ITIP-VERSION","41","TEXT","TEXT"
"MAXDATE","45","DATE-TIME","DATE-TIME"
"MAX-COMPONENT-SIZE","44","INTEGER","INTEGER"
"MINDATE","49","DATE-TIME","DATE-TIME"
"MULTIPART","50","TEXT","TEXT"
"NAME","115","TEXT","TEXT"
"OWNER","53","TEXT","TEXT"
"PERMISSION","55","TEXT","TEXT"
"QUERY","58","QUERY","QUERY"
"QUERYID","60","TEXT","TEXT"
"QUERY-LEVEL","59","QUERY-LEVEL","QUERY-LEVEL"
"RECUR-ACCEPTED","63","TEXT","TEXT"
"RECUR-EXPAND","64","TEXT","TEXT"
"RECUR-LIMIT","65","TEXT","TEXT"
"RESTRICTION","72","QUERY","QUERY"
"SCOPE","74","TEXT","TEXT"
"STORES-EXPANDED","77","TEXT","TEXT"
"TARGET","79","CAL-ADDRESS","CAL-ADDRESS"

"#Miscellaneous Properties","Origin Unknown",
"MAXRESULTS","46","INTEGER","INTEGER"
"MAXRESULTSSIZE","47","INTEGER","INTEGER"
"QUERYNAME","61","TEXT","TEXT"
"RELCALID","68","TEXT","TEXT"
"DATE-MAX","21","DATE-TIME","DATE-TIME"
"DATE-MIN","22","DATE-TIME","DATE-TIME"

"#libical Internal Properties",,
"X-LIC-ERROR","93","TEXT","TEXT"
"X-LIC-CLUSTERCOUNT","92","STRING","STRING"
"X-LIC-MIMECONTENTTYPE","96","STRING","STRING"
"X-LIC-MIMECHARSET","94","STRING","STRING"
"X-LIC-MIMEENCODING","97","STRING","STRING"
"X-LIC-MIMEOPTINFO","99","STRING","STRING"
"X-LIC-MIMECID","95","STRING","STRING"
"X-LIC-MIMEFILENAME","98","STRING","STRING"
"X-LIC-CLASS","91","X-LIC-CLASS","X-LIC-CLASS"
"ANY","0","NO","NO"
"NO","100","NO","NO"

"#VALARM Extension Properties", "RFC 9074 Sections 6.1, 8.1",
"ACKNOWLEDGED","1","DATE-TIME","DATE-TIME"
"PROXIMITY","126","PROXIMITY","PROXIMITY"

"#VAVAILABILITY Properties","RFC 7953 Section 3.2",
"BUSYTYPE","101","BUSYTYPE","BUSYTYPE"

"#VPOLL Properties","draft-ietc-calext-vpoll","VOTER is deprecated"
"ACCEPT-RESPONSE","102","TEXT,"TEXT",is_multivalued
"POLL-COMPLETION","110","POLLCOMPLETION,"POLLCOMPLETION"
"POLL-ITEM-ID","103","INTEGER,"INTEGER"
"POLL-MODE","104","POLLMODE,"POLLMODE"
"POLL-PROPERTIES","105","TEXT,"TEXT",is_multivalued
"POLL-WINNER","106","INTEGER,"INTEGER"
"REPLY-URL","111","URI,"URI"
"RESPONSE","112","INTEGER,"INTEGER"
"VOTER","107","CAL-ADDRESS,"CAL-ADDRESS"

"#TZdist Properties","RFC 7808 Section 7",
"TZID-ALIAS-OF","108","TEXT","TEXT"
"TZUNTIL","109","DATE-TIME","DATE-TIME"

"#Task Extension Properties","draft-apthorp-ical-tasks",
"ESTIMATED-DURATION","113","DURATION","DURATION"
"TASK-MODE","114","TASKMODE","TASKMODE"

"#New Properties for iCalendar","RFC 7986 Section 5",
#"NAME","115","TEXT","TEXT" (conflicts with NAME from rfc4324#section-2.1.2)
"REFRESH-INTERVAL","116","DURATION","NO"
"SOURCE","117","URI","NO"
"COLOR","118","TEXT","TEXT"
"IMAGE","119","ATTACH","NO",is_structured
"CONFERENCE","120","URI","NO"

"#VPATCH Extension Properties", "draft-daboo_icalendar-vpatch Section 4",
"PATCH-VERSION","121","TEXT","TEXT"
"PATCH-ORDER","122","INTEGER","INTEGER"
"PATCH-TARGET","123","TEXT","TEXT"
"PATCH-DELETE","124","TEXT","TEXT"
"PATCH-PARAMETER","125","TEXT","TEXT"

"#Event Publication Extensions Properties","RFC 9073 Section 6",
"LOCATION-TYPE","127","TEXT","TEXT",is_multivalued
"PARTICIPANT-TYPE","128","PARTICIPANT-TYPE","PARTICIPANT-TYPE"
"RESOURCE-TYPE","129","RESOURCE-TYPE","RESOURCE-TYPE"
"CALENDAR-ADDRESS","130","CAL-ADDRESS","CAL-ADDRESS"
"STYLED-DESCRIPTION","131","TEXT","NO"
"STRUCTURED-DATA","132","ATTACH","NO",is_structured

"#iCalendar Relationships Properties","RFC 9253 Section 8",
"CONCEPT","133","URI","URI"
"LINK","134","LINK","NO"
"REFID","135","TEXT","TEXT"

"#NOTE for updaters.  Preserve the icalproperty_kind Enum values to aid forward compatibility"
