"#Name","C icalvalue_kind Enum","C type& gen flag","Python","Component Values","Enum Values"
"BINARY","5011","(a)const char*","file","unitary",
"BOOLEAN","5021","(a)int","integer","unitary",
"CAL-ADDRESS","5023","(a)const char*","string","unitary",
"DATE","5002","(a)struct icaltimetype","Time","unitary",
"DATE-TIME","5028","(m)struct icaltimetype","Time","unitary",
"DURATION","5020","(a)struct icaldurationtype","Duration","unitary",
"FLOAT","5013","(a)float","float","unitary",
"INTEGER","5017","(a)int","integer","unitary",
"PERIOD","5014","(a)struct icalperiodtype","Period","unitary",
"RECUR","5026","(m)struct icalrecurrencetype","RecurrenceSet","unitary",
"TEXT","5008","(a)const char*","string","unitary",
"URI","5018","(a)const char*","string","unitary",
"UTC-OFFSET","5029","(a)int","integer","unitary",
"QUERY","5001","(a)const char*","string","unitary",
"#Non-standard multi-valued types",,,,
"ATTACH","5003","(m)icalattach *","none","URI;BINARY",
"DATE-TIME-PERIOD","5015","(m)struct icaldatetimeperiodtype","none","DATE-TIME;PERIOD",
"TRIGGER","5024","(m)struct icaltriggertype","string","DURATION;DATE-TIME",
"#Non-standard property enumeration types",,,,
"#METHOD:POLLSTATUS from draft-york-vpoll",,,,
"METHOD","5030","(a)enum icalproperty_method","string","unitary","X=10030;PUBLISH;REQUEST;REPLY;ADD;CANCEL;REFRESH;COUNTER;DECLINECOUNTER;CREATE;READ;RESPONSE;MOVE;MODIFY;GENERATEUID;DELETE;NONE;POLLSTATUS=10101"
"X-LIC-CLASS","5025","(a)enum icalproperty_xlicclass","string","unitary","X=10067;PUBLISH-NEW;PUBLISH-UPDATE;PUBLISH-FREEBUSY;REQUEST-NEW;REQUEST-UPDATE;REQUEST-RESCHEDULE;REQUEST-DELEGATE;REQUEST-NEW-ORGANIZER;REQUEST-FORWARD;REQUEST-STATUS;REQUEST-FREEBUSY;REPLY-ACCEPT;REPLY-DECLINE;REPLY-DELEGATE;REPLY-CRASHER-ACCEPT;REPLY-CRASHER-DECLINE;ADD-INSTANCE;CANCEL-EVENT;CANCEL-INSTANCE;CANCEL-ALL;REFRESH;COUNTER;DECLINECOUNTER;MALFORMED;OBSOLETE;MISSEQUENCED;UNKNOWN;NONE"
"ACTION","5027","(a)enum icalproperty_action","string","unitary","X=10000;AUDIO;DISPLAY;EMAIL;PROCEDURE;NONE=10005"
"STATUS","5005","(a)enum icalproperty_status","string","unitary","X=10051;TENTATIVE;CONFIRMED;COMPLETED;NEEDS-ACTION;CANCELLED;IN-PROCESS;DRAFT;FINAL;NONE"
"TRANSP","5006","(a)enum icalproperty_transp","string","unitary","X=10061;OPAQUE;OPAQUE-NOCONFLICT;TRANSPARENT;TRANSPARENT-NOCONFLICT;NONE"
"CLASS","5019","(m)enum icalproperty_class","string","unitary","X=10011;PUBLIC;PRIVATE;CONFIDENTIAL;NONE"
"#Other non-standard",,,,
"REQUEST-STATUS","5009","(a)struct icalreqstattype","string","unitary"
"GEO","5004","(m)struct icalgeotype","tuple","unitary",
"STRING",""5007",(a)const char*","string","unitary",
"X","5022","(m)const char*","string","unitary",
"#CAP enumeration types",,,,
"CMD","5010","(a)enum icalproperty_cmd","string","unitary","X=10016;ABORT;CONTINUE;CREATE;DELETE;GENERATE-UID;GET-CAPABILITY;IDENTIFY;MODIFY;MOVE;REPLY;SEARCH;SET-LOCALE;NONE"
"QUERY-LEVEL","5012","(a)enum icalproperty_querylevel","string","unitary","X=10047;CAL-QL-1;CAL-QL-NONE;NONE"
"CAR-LEVEL","5016","(a)enum icalproperty_carlevel","string","unitary","X=10006;CAR-NONE;CAR-MIN;CAR-FULL-1;NONE"
"ANY","5000",,,,
"NO","5031",,,,
"#VAVAILABILITY types","draft-daboo-calendar-availability",,,
"BUSYTYPE","5032","(a)enum icalproperty_busytype","string","unitary","X=10096;BUSY;BUSY-UNAVAILABLE;BUSY-TENTATIVE;NONE"
"#VPOLL types","draft-york-vpoll",,,
"POLLMODE","5033","(a)enum icalproperty_pollmode","string","unitary","X=10102;BASIC;NONE"
"#NOTE for updaters.  Preserve the icalvalue_kind Enum values and property Enum values to aid forward compatibility"
