# Version, Target component, Property, Sub-component, Restriction

NONE,VCARD,VERSION,NONE,ONE
NONE,VCARD,ANNIVERSARY,NONE,ZEROORONE,validate_datetime_value
NONE,VCARD,BDAY,NONE,ZEROORONE,validate_datetime_value
NONE,VCARD,GENDER,NONE,ZEROORONE
NONE,VCARD,KIND,NONE,ZEROORONE
NONE,VCARD,PRODID,NONE,ZEROORONE
NONE,VCARD,REV,NONE,ZEROORONE,validate_timestamp_value
NONE,VCARD,UID,NONE,ZEROORONE
NONE,VCARD,NONE,X,ZEROPLUS

21,VCARD,FN,NONE,ZEROPLUS
30,VCARD,FN,NONE,ONEPLUS
40,VCARD,FN,NONE,ONEPLUS

21,VCARD,N,NONE,ONE
30,VCARD,N,NONE,ONE
40,VCARD,N,NONE,ZEROORONE

# Birth/Death Extensions (RFC 6474)
NONE,VCARD,BIRTHPLACE,NONE,ZEROORONE
NONE,VCARD,DEATHPLACE,NONE,ZEROORONE
NONE,VCARD,DEATHDATE,NONE,ZEROORONE,validate_datetime_value

# JSContact Extensions (RFC 9554)
NONE,VCARD,CREATED,NONE,ZEROORONE,validate_timestamp_value
NONE,VCARD,LANGUAGE,NONE,ZEROORONE
