"#Name ","C icalparameter_kind Enum","C Type","Enumeration Values"
"ALTREP","2","const char*",
"CHARSET","3","const char*",
"CN","4","const char*",
"CUTYPE","5","icalparameter_cutype","X=20004;INDIVIDUAL;GROUP;RESOURCE;ROOM;UNKNOWN;NONE"
"DELEGATED-FROM","6","const char*",
"DELEGATED-TO","7","const char*",
"DIR","8","const char*",
"ENCODING","10","icalparameter_encoding","X=20015;8BIT;BASE64;NONE"
"FBTYPE","11","icalparameter_fbtype","X=20019;FREE;BUSY;BUSY-UNAVAILABLE;BUSY-TENTATIVE;NONE"
"FMTTYPE","12","const char*",
"LANGUAGE","14","const char*",
"MEMBER","18","const char*",
"PARTSTAT","20","icalparameter_partstat","X=20029;NEEDS-ACTION;ACCEPTED;DECLINED;TENTATIVE;DELEGATED;COMPLETED;INPROCESS;NONE"
"RANGE","21","icalparameter_range","X=20038;THISANDPRIOR;THISANDFUTURE;NONE"
"RELATED","22","icalparameter_related","X=20042;START;END;NONE"
"RELTYPE","23","icalparameter_reltype","X=20046;PARENT;CHILD;SIBLING;NONE;POLL=20107"
"ROLE","24","icalparameter_role","X=20051;CHAIR;REQ-PARTICIPANT;OPT-PARTICIPANT;NON-PARTICIPANT;NONE"
"RSVP","25","icalparameter_rsvp","X=20057;TRUE;FALSE;NONE"
"SENT-BY","26","const char*",
"TZID","27","const char*",
"VALUE","28","icalparameter_value","X=20069;BINARY;BOOLEAN;DATE;DURATION;FLOAT;INTEGER;PERIOD;RECUR;TEXT;URI;ERROR;DATE-TIME;UTC-OFFSET;CAL-ADDRESS;NONE"
"X","29","const char*",
"X-LIC-ERRORTYPE","31","icalparameter_xlicerrortype","X=20096;COMPONENT-PARSE-ERROR;PROPERTY-PARSE-ERROR;PARAMETER-NAME-PARSE-ERROR;PARAMETER-VALUE-PARSE-ERROR;VALUE-PARSE-ERROR;INVALID-ITIP;UNKNOWN-VCAL-PROP-ERROR;MIME-PARSE-ERROR;VCAL-PROP-PARSE-ERROR;NONE"
"X-LIC-COMPARETYPE","30","icalparameter_xliccomparetype","X=20085;EQUAL;NOTEQUAL;LESS;GREATER;LESSEQUAL;GREATEREQUAL;REGEX;ISNULL;ISNOTNULL;NONE"
"#Parameters from CalDAV Scheduling Extensions to WebDAV"
"SCHEDULE-AGENT","34","icalparameter_scheduleagent","X=20061;SERVER;CLIENT;NONE"
"SCHEDULE-FORCE-SEND","35","icalparameter_scheduleforcesend","X=20065;REQUEST;REPLY;NONE"
"SCHEDULE-STATUS","36","const char*",
"#CAP Parameters","Draft 8",
"#this parameter should really be called ACTION, but this conflicts with the ACTION property"
"ACTIONPARAM","1","icalparameter_action","X=20000;ASK;ABORT;NONE"
"ID","13","const char*",
"ENABLE","9","icalparameter_enable","X=20011;TRUE;FALSE;NONE"
"LATENCY","15","const char*",
"LOCAL","16","icalparameter_local","X=20025;TRUE;FALSE;NONE"
"LOCALIZE","17","const char*",
"OPTIONS","19","const char*",
"NO","32",,
"#In practice any unknown paramater that is not an xparam is treated as an ianaparam"
"IANA","33","const char*",
"ANY","0",,
"#VPOLL Parameters","draft-york-vpoll",
"PUBLIC-COMMENT","37","const char*",
"RESPONSE","38","int",
"STAY-INFORMED","39","icalparameter_stayinformed","X=20108;TRUE;FALSE;NONE"
"#NOTE for updaters.  Preserve the icalparameter_kind Enum values to aid forward compatibility"
